File Path,Solution,Time
20170720144107749299_getCapchaImage.do.jpg,corams,5.39505
20170720144042889308_getCapchaImage.do.jpg,forthly,5.324572
20170720144040742582_getCapchaImage.do.jpg,spases,8.568714
20170720144039557189_getCapchaImage.do.jpg,sprhers,12.956448
20170720144046478498_getCapchaImage.do.jpg,ticrets,5.369346
20170720144041883751_getCapchaImage.do.jpg,plaared,8.583544
20170720144053459318_getCapchaImage.do.jpg,banbed,5.405948
20170720144142735665_getCapchaImage.do.jpg,toeamin,8.594338
20170720144130848743_getCapchaImage.do.jpg,tiling,10.740358
20170720144058491513_getCapchaImage.do.jpg,floters,8.56413
20170720144055050424_getCapchaImage.do.jpg,harires,5.352656
20170720144143914380_getCapchaImage.do.jpg,whiust,12.991051
20170720144032257176_getCapchaImage.do.jpg,colrtax,5.436725
20170720144053855812_getCapchaImage.do.jpg,stoner,5.377498
20170720144043836117_getCapchaImage.do.jpg,lonerts,13.041613
20170720144028545084_getCapchaImage.do.jpg,mysixed,10.872024
20170720144133477948_getCapchaImage.do.jpg,fiswer,5.294766
20170720144029401497_getCapchaImage.do.jpg,deeing,5.353757
20170720144036326293_getCapchaImage.do.jpg,deaters,8.512866
20170720144057387761_getCapchaImage.do.jpg,stoebra,8.518475
20170720144130913647_getCapchaImage.do.jpg,dogings,5.33206
20170720144108657793_getCapchaImage.do.jpg,waxded,8.612591
20170720144144269750_getCapchaImage.do.jpg,kinrall,8.609
20170720144124443408_getCapchaImage.do.jpg,footing,18.369968
20170720144050333120_getCapchaImage.do.jpg,oopen,10.813852
20170720144059578868_getCapchaImage.do.jpg,thrten,10.699917
20170720144054722943_getCapchaImage.do.jpg,drihts,8.573824
20170720144054649080_getCapchaImage.do.jpg,fatgue,5.361781
20170720144143194927_getCapchaImage.do.jpg,hummg,8.593565
20170720144038816158_getCapchaImage.do.jpg,fraered,13.048115
20170720144034032568_getCapchaImage.do.jpg,deaged,12.992617
20170720144031015784_getCapchaImage.do.jpg,angths,3.141162
20170720144126640185_getCapchaImage.do.jpg,evecks,5.375777
20170720144032647747_getCapchaImage.do.jpg,gongers,8.526457
20170720144115304406_getCapchaImage.do.jpg,smeked,5.38833
20170720144051001197_getCapchaImage.do.jpg,tnyft,3.118607
20170720144055816455_getCapchaImage.do.jpg,gunges,3.125765
20170720144100498855_getCapchaImage.do.jpg,bkorits,8.610597
20170720144039819120_getCapchaImage.do.jpg,beaces,8.607636
20170720144026566388_getCapchaImage.do.jpg,Waxned,8.525479
20170720144034715279_getCapchaImage.do.jpg,dowtsrs,10.787654
20170720144132249518_getCapchaImage.do.jpg,wlnters,8.542068
20170720144027840613_getCapchaImage.do.jpg,bonced,5.310028
20170720144046888039_getCapchaImage.do.jpg,twezels,13.117821
20170720144040356306_getCapchaImage.do.jpg,commal,8.589997
20170720144103483894_getCapchaImage.do.jpg,poided,9.222904
20170720144029724888_getCapchaImage.do.jpg,schder,8.628023
20170720144117049095_getCapchaImage.do.jpg,colhel,8.59219
20170720144139074883_getCapchaImage.do.jpg,weeteps,3.124453
20170720144107617208_getCapchaImage.do.jpg,rooring,8.558779
20170720144027384311_getCapchaImage.do.jpg,tennged,8.6141
20170720144045012082_getCapchaImage.do.jpg,looides,27.074207
20170720144036108696_getCapchaImage.do.jpg,unsing,8.595303
20170720144122463598_getCapchaImage.do.jpg,taiarth,8.592924
20170720144124040260_getCapchaImage.do.jpg,darased,8.551809
20170720144129028710_getCapchaImage.do.jpg,rivwer,10.741553
20170720144116787405_getCapchaImage.do.jpg,elesing,8.578291
20170720144133615534_getCapchaImage.do.jpg,knilogy,8.523286
20170720144027447884_getCapchaImage.do.jpg,wherace,8.598026
20170720144131110776_getCapchaImage.do.jpg,spaging,8.56317
20170720144048577575_getCapchaImage.do.jpg,whiared,13.054197
20170720144132725445_getCapchaImage.do.jpg,chating,8.544879
20170720144054859267_getCapchaImage.do.jpg,widghe,8.586251
20170720144136577412_getCapchaImage.do.jpg,judffen,30.306938
20170720144122824091_getCapchaImage.do.jpg,namter,5.335061
20170720144138171783_getCapchaImage.do.jpg,witbly,8.581963
20170720144031396784_getCapchaImage.do.jpg,cooires,5.325011
20170720144041149056_getCapchaImage.do.jpg,begking,5.564159
20170720144136752988_getCapchaImage.do.jpg,minater,20.72531
20170720144115499578_getCapchaImage.do.jpg,houher,16.414862
20170720144047702651_getCapchaImage.do.jpg,posing,10.772042
20170720144059243689_getCapchaImage.do.jpg,awapier,10.793949
20170720144135955039_getCapchaImage.do.jpg,inkthly,5.332921
20170720144034777761_getCapchaImage.do.jpg,fifkers,16.196276
20170720144042023984_getCapchaImage.do.jpg,ticned,8.634703
20170720144113891405_getCapchaImage.do.jpg,unsish,5.376045
20170720144055747688_getCapchaImage.do.jpg,powiety,8.608771
20170720144046326177_getCapchaImage.do.jpg,manving,5.342529
20170720144137283599_getCapchaImage.do.jpg,worger,8.62823
20170720144051131371_getCapchaImage.do.jpg,fatcher,13.043034
20170720144116853781_getCapchaImage.do.jpg,rubgust,8.614164
20170720144025754010_getCapchaImage.do.jpg,louler,8.631643
20170720144143109395_getCapchaImage.do.jpg,senezes,13.046913
20170720144112483862_getCapchaImage.do.jpg,chaer,5.386645
20170720144029066071_getCapchaImage.do.jpg,colking,5.437591
20170720144110429195_getCapchaImage.do.jpg,pagshes,8.571702
20170720144044614896_getCapchaImage.do.jpg,braned,10.778443
