File Path,Solution,Time,Match with DBC
20170720144107749299_getCapchaImage.do.jpg,COramS,0.13668,False
20170720144042889308_getCapchaImage.do.jpg,erthly,0.117483,False
20170720144040742582_getCapchaImage.do.jpg,spaseS,0.139261,False
20170720144039557189_getCapchaImage.do.jpg,SprherS,0.143917,False
20170720144046478498_getCapchaImage.do.jpg,ticneis,0.127331,False
20170720144041883751_getCapchaImage.do.jpg,Diaared,0.136891,False
20170720144053459318_getCapchaImage.do.jpg,banbed,0.159541,True
20170720144142735665_getCapchaImage.do.jpg,toegmin,0.158077,False
20170720144130848743_getCapchaImage.do.jpg,tiling,0.15054,True
20170720144058491513_getCapchaImage.do.jpg,floters,0.154762,True
20170720144055050424_getCapchaImage.do.jpg,harires,0.126542,True
20170720144143914380_getCapchaImage.do.jpg,WhiUSt,0.129291,False
20170720144032257176_getCapchaImage.do.jpg,colrtax,0.147083,True
20170720144053855812_getCapchaImage.do.jpg,stQJEr,0.136198,False
20170720144043836117_getCapchaImage.do.jpg,lanrgs,0.148459,False
20170720144028545084_getCapchaImage.do.jpg,mysixed,0.163771,True
20170720144133477948_getCapchaImage.do.jpg,fiswer,0.123582,True
20170720144029401497_getCapchaImage.do.jpg,deeing,0.148544,True
20170720144036326293_getCapchaImage.do.jpg,dearers,0.120084,False
20170720144057387761_getCapchaImage.do.jpg,stoebfa,0.15071,False
20170720144130913647_getCapchaImage.do.jpg,ngings,0.150841,False
20170720144108657793_getCapchaImage.do.jpg,Waxded,0.124174,False
20170720144144269750_getCapchaImage.do.jpg,kfnraH,0.120309,False
20170720144124443408_getCapchaImage.do.jpg,footing,0.114521,True
20170720144050333120_getCapchaImage.do.jpg,E Oopen,0.125937,False
20170720144059578868_getCapchaImage.do.jpg,thrten,0.116004,True
20170720144054722943_getCapchaImage.do.jpg,Cirihts,0.128894,False
20170720144054649080_getCapchaImage.do.jpg,fatgue,0.128872,True
20170720144143194927_getCapchaImage.do.jpg,hummg,0.144103,True
20170720144038816158_getCapchaImage.do.jpg,fraered,0.158499,True
20170720144034032568_getCapchaImage.do.jpg,deaged,0.138399,True
20170720144031015784_getCapchaImage.do.jpg,angths,0.156342,True
20170720144126640185_getCapchaImage.do.jpg,eVecks,0.163614,False
20170720144032647747_getCapchaImage.do.jpg,gongers,0.198319,True
20170720144115304406_getCapchaImage.do.jpg,smeked,0.127137,True
20170720144051001197_getCapchaImage.do.jpg,Wirder,0.145507,False
20170720144055816455_getCapchaImage.do.jpg,glinges,0.144389,False
20170720144100498855_getCapchaImage.do.jpg,blonts,0.129343,False
20170720144039819120_getCapchaImage.do.jpg,beaces,0.124661,True
20170720144026566388_getCapchaImage.do.jpg,WaXned,0.209683,False
20170720144034715279_getCapchaImage.do.jpg,dowtcrs,0.216874,False
20170720144132249518_getCapchaImage.do.jpg,Winters,0.155495,False
20170720144027840613_getCapchaImage.do.jpg,banged,0.125107,False
20170720144046888039_getCapchaImage.do.jpg,tweZeIS,0.146586,False
20170720144040356306_getCapchaImage.do.jpg,Commal,0.167591,False
20170720144103483894_getCapchaImage.do.jpg,Doided,0.123904,False
20170720144029724888_getCapchaImage.do.jpg,schder,0.227835,True
20170720144117049095_getCapchaImage.do.jpg,colhel,0.138746,True
20170720144139074883_getCapchaImage.do.jpg,weeteps,0.160816,True
20170720144107617208_getCapchaImage.do.jpg,rooring,0.171863,True
20170720144027384311_getCapchaImage.do.jpg,tennged,0.129049,True
20170720144045012082_getCapchaImage.do.jpg,lOcides,0.143985,False
20170720144036108696_getCapchaImage.do.jpg,unsing,0.131976,True
20170720144122463598_getCapchaImage.do.jpg,taiarth,0.153446,True
20170720144124040260_getCapchaImage.do.jpg,darased,0.156195,True
20170720144129028710_getCapchaImage.do.jpg,rivwer,0.116852,True
20170720144116787405_getCapchaImage.do.jpg,elesing,0.142446,True
20170720144133615534_getCapchaImage.do.jpg,knilogy,0.135951,True
20170720144027447884_getCapchaImage.do.jpg,Wherace,0.163539,False
20170720144131110776_getCapchaImage.do.jpg,Spaging,0.157808,False
20170720144048577575_getCapchaImage.do.jpg,whiared,0.144225,True
20170720144132725445_getCapchaImage.do.jpg,Chating,0.127274,False
20170720144054859267_getCapchaImage.do.jpg,Widghed,0.128146,False
20170720144136577412_getCapchaImage.do.jpg,judffen,0.127338,True
20170720144122824091_getCapchaImage.do.jpg,namter,0.136657,True
20170720144138171783_getCapchaImage.do.jpg,witbly,0.141914,True
20170720144031396784_getCapchaImage.do.jpg,Cooires,0.119102,False
20170720144041149056_getCapchaImage.do.jpg,begking,0.137177,True
20170720144136752988_getCapchaImage.do.jpg,minatEr,0.149019,False
20170720144115499578_getCapchaImage.do.jpg,houher,0.16804,True
20170720144047702651_getCapchaImage.do.jpg,posing,0.167078,True
20170720144059243689_getCapchaImage.do.jpg,awapier,0.162818,True
20170720144135955039_getCapchaImage.do.jpg,ihkthlv,0.14565,False
